City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
79,Georgetown,MY,5.4112,100.3354,80.89,82,40,0.0,scattered clouds
80,Waipawa,NZ,-41.4122,175.5153,55.45,97,100,13.38,light rain
81,Barrow,US,71.2906,-156.7887,-11.18,70,100,14.97,light snow
82,Banda Aceh,ID,5.5577,95.3222,79.41,78,83,4.83,light rain
83,Obo,CF,5.3998,26.4869,80.85,19,100,5.32,overcast clouds
84,Padang,ID,-0.9492,100.3543,74.57,95,100,2.19,overcast clouds
85,Dikson,RU,73.5069,80.5464,-18.92,100,96,3.51,overcast clouds
86,Yellowknife,CA,62.456,-114.3525,-13.59,83,75,8.05,broken clouds
87,Upernavik,GL,72.7868,-56.1549,0.43,98,100,4.56,overcast clouds
88,San Luis,AR,-33.295,-66.3356,65.28,55,92,15.59,overcast clouds
89,Porbandar,IN,21.6422,69.6093,68.41,63,0,5.91,clear sky
90,Tasiilaq,GL,65.6145,-37.6368,16.11,59,100,10.0,overcast clouds
91,Tuktoyaktuk,CA,69.4541,-133.0374,-31.0,68,0,9.22,clear sky
92,Gunjur,GM,13.2019,-16.7339,98.67,36,0,4.61,clear sky
93,Ranong,TH,9.9658,98.6348,75.63,90,29,4.92,scattered clouds
94,Hobart,AU,-42.8794,147.3294,60.03,75,100,1.14,overcast clouds
95,Norman Wells,CA,65.282,-126.8329,-11.65,94,95,5.99,overcast clouds
96,Makakilo City,US,21.3469,-158.0858,66.61,84,0,4.61,clear sky
97,Hithadhoo,MV,-0.6,73.0833,82.67,75,100,12.01,overcast clouds
98,Librazhd,AL,41.1794,20.315,46.22,93,83,5.14,broken clouds
99,Aklavik,CA,68.2191,-135.0107,-31.97,66,20,4.61,few clouds
100,Havre-Saint-Pierre,CA,50.2334,-63.5986,7.39,72,100,14.97,overcast clouds
101,Puerto Ayora,EC,-0.7393,-90.3518,84.16,86,54,5.99,broken clouds
102,Lavrentiya,RU,65.5833,-171.0,-18.72,94,29,8.79,scattered clouds
103,Toma,BF,12.7667,-2.8833,91.18,6,5,7.34,clear sky
104,Mar Del Plata,AR,-38.0023,-57.5575,67.08,88,100,18.99,moderate rain
105,East London,ZA,-33.0153,27.9116,67.14,94,75,9.22,mist
106,Kota Bahru,MY,6.1333,102.2386,80.55,78,40,13.0,scattered clouds
107,Provideniya,RU,64.3833,-173.3,-5.75,86,3,11.77,clear sky
108,Sur,OM,22.5667,59.5289,73.63,50,1,4.34,clear sky
109,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,77,99,13.22,overcast clouds
110,Aksarka,RU,66.5606,67.7975,-16.76,100,93,3.53,overcast clouds
111,Pingliang,CN,35.5392,106.6861,18.63,96,100,1.77,light snow
112,The Valley,AI,18.217,-63.0578,82.26,69,75,17.27,broken clouds
113,Luderitz,NA,-26.6481,15.1594,70.74,68,9,4.5,clear sky
114,Mizan Teferi,ET,6.9833,35.5833,66.36,71,89,1.41,light rain
115,Nikolskoye,RU,59.7035,30.7861,25.88,94,100,11.3,snow
116,Itupiranga,BR,-5.1347,-49.3267,84.52,84,97,2.24,overcast clouds
117,Prince George,CA,53.9166,-122.753,38.64,64,0,11.5,clear sky
118,Coihaique,CL,-45.5752,-72.0662,69.75,40,0,4.61,clear sky
119,Poncitlan,MX,20.3667,-102.9167,65.7,40,9,4.18,clear sky
120,Alyangula,AU,-13.8483,136.4192,78.67,100,86,3.44,overcast clouds
121,Cockburn Town,TC,21.4612,-71.1419,76.37,68,10,18.34,clear sky
122,Fuerte Olimpo,PY,-21.0415,-57.8738,100.22,31,74,13.24,broken clouds
123,Port Hardy,CA,50.6996,-127.4199,40.75,93,75,6.91,broken clouds
124,Sitka,US,57.0531,-135.33,42.69,81,100,11.5,moderate rain
125,Marzuq,YE,14.4,46.4667,69.15,39,20,7.18,few clouds
126,Cidreira,BR,-30.1811,-50.2056,86.92,58,91,9.22,heavy intensity rain
127,Soe,ID,-9.8607,124.284,66.74,94,96,3.18,overcast clouds
128,Cherskiy,RU,68.75,161.3,-32.82,96,15,1.39,few clouds
129,Zhezkazgan,KZ,47.8043,67.7144,14.83,79,93,15.97,overcast clouds
130,Yaan,NG,7.3833,8.5667,93.7,10,1,7.09,clear sky
131,San Pedro,PH,14.35,121.0167,79.83,70,75,4.61,broken clouds
132,Celendin,PE,-6.8703,-78.1517,66.72,60,60,3.31,light rain
133,Albany,US,42.6001,-73.9662,19.02,70,27,8.01,scattered clouds
134,Cabo San Lucas,MX,22.8909,-109.9124,69.51,63,24,3.0,few clouds
135,Juegang,CN,32.3174,121.1855,35.91,60,49,7.45,scattered clouds
136,Rayong,TH,12.8333,101.4333,80.73,99,34,3.27,scattered clouds
137,Olinala,MX,17.8333,-98.85,69.31,44,34,4.61,scattered clouds
138,Bonthe,SL,7.5264,-12.505,84.81,61,89,13.76,overcast clouds
139,Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,66,0,19.57,clear sky
140,Kiruna,SE,67.8557,20.2251,22.12,93,100,16.11,overcast clouds
141,Antofagasta,CL,-23.65,-70.4,71.22,64,15,8.86,few clouds
142,Belmonte,BR,-15.8631,-38.8828,81.1,71,87,7.96,overcast clouds
